dn,P,u,v,w
7.3552e+05,1.866,0.2282,-0.08133,0.078502
7.3552e+05,1.866,0.32555,-0.086525,0.067298
7.3552e+05,1.866,0.26129,-0.061133,0.06478
7.3552e+05,1.864,0.26245,-0.048529,0.063893
7.3552e+05,1.865,0.20828,-0.063324,0.060392
7.3552e+05,1.866,0.21,-0.015268,0.064588
7.3552e+05,1.866,0.2122,0.0027205,0.054761
7.3552e+05,1.866,0.1557,0.013399,0.064089
7.3552e+05,1.865,0.20092,0.064442,0.072711
7.3552e+05,1.865,0.25207,0.062433,0.066858
7.3552e+05,1.864,0.14325,0.12029,0.080915
7.3552e+05,1.866,0.22161,0.13953,0.069789
7.3552e+05,1.866,0.20568,0.15294,0.068169
7.3552e+05,1.867,0.18092,0.072994,0.047557
7.3552e+05,1.867,0.12845,0.1165,0.038198
7.3552e+05,1.87,0.17472,0.10044,0.052957
7.3552e+05,1.869,0.18323,0.13011,0.06287
7.3552e+05,1.871,0.19274,0.080863,0.05077
7.3552e+05,1.871,0.13158,0.10875,0.06063
7.3552e+05,1.873,0.19367,0.038844,0.056895
7.3552e+05,1.873,0.23804,0.14215,0.048343
7.3552e+05,1.874,0.24588,0.056266,0.069244
7.3552e+05,1.871,0.18819,0.10529,0.059354
7.3552e+05,1.87,0.16695,0.13183,0.058198
7.3552e+05,1.872,0.139,0.14498,0.055354
7.3552e+05,1.872,0.17811,0.079562,0.049281
7.3552e+05,1.872,0.15851,0.10439,0.046282
7.3552e+05,1.872,0.19128,0.084804,0.049616
7.3552e+05,1.872,0.18752,0.062616,0.046218
7.3552e+05,1.873,0.15359,0.069207,0.052818
7.3552e+05,1.872,0.16769,0.023895,0.055258
7.3552e+05,1.87,0.21449,0.046312,0.055998
7.3552e+05,1.87,0.1858,0.054081,0.05911
7.3552e+05,1.872,0.16981,-0.048587,0.049442
7.3552e+05,1.872,0.21365,0.024779,0.058928
7.3552e+05,1.871,0.146,0.01367,0.053051
7.3552e+05,1.87,0.1901,-0.0071098,0.047486
7.3552e+05,1.869,0.21167,-0.043498,0.046665
7.3552e+05,1.869,0.20638,-0.096673,0.045121
7.3552e+05,1.869,0.17203,-0.040447,0.040622
7.3552e+05,1.869,0.18472,-0.13382,0.035882
7.3552e+05,1.869,0.15622,-0.11699,0.05409
7.3552e+05,1.869,0.15284,-0.11318,0.049726
7.3552e+05,1.867,0.17745,-0.12646,0.063286
7.3552e+05,1.867,0.1765,-0.15561,0.06721
7.3552e+05,1.866,0.18741,-0.18043,0.080383
7.3552e+05,1.866,0.14514,-0.16858,0.073066
7.3552e+05,1.866,0.15082,-0.16202,0.066608
7.3552e+05,1.866,0.18072,-0.17006,0.082717
7.3552e+05,1.865,0.16089,-0.20878,0.091757
7.3552e+05,1.864,0.14267,-0.21375,0.11001
7.3552e+05,1.863,0.17186,-0.22192,0.11097
7.3552e+05,1.863,0.1828,-0.2239,0.12414
7.3552e+05,1.859,0.18334,-0.2839,0.12219
7.3552e+05,1.859,0.17378,-0.28666,0.12925
7.3552e+05,1.858,0.12568,-0.28583,0.1324
7.3552e+05,1.856,0.11547,-0.31734,0.13136
7.3552e+05,1.851,0.15491,-0.33693,0.14442
7.3552e+05,1.849,0.10206,-0.28752,0.15312
7.3552e+05,1.844,0.10938,-0.33191,0.15085
7.3552e+05,1.841,0.10839,-0.30144,0.1608
7.3552e+05,1.837,0.042121,-0.29352,0.17918
7.3552e+05,1.831,0.13652,-0.32129,0.16567
7.3552e+05,1.826,0.10001,-0.22843,0.16597
7.3552e+05,1.821,0.13869,-0.28479,0.18097
7.3552e+05,1.812,0.10189,-0.29855,0.18325
7.3552e+05,1.804,0.061787,-0.3152,0.1842
7.3552e+05,1.796,0.082469,-0.32112,0.19234
7.3552e+05,1.791,0.066142,-0.2678,0.20274
7.3552e+05,1.783,0.10593,-0.32324,0.2108
7.3552e+05,1.774,0.10536,-0.24577,0.21175
7.3552e+05,1.765,0.10372,-0.25207,0.22264
7.3552e+05,1.758,0.095803,-0.23277,0.23189
7.3552e+05,1.749,0.084552,-0.23788,0.23476
