dn,P,u,v,w
7.3592e+05,15.628,0.21587,0.10625,-0.0012129
7.3592e+05,15.634,0.26464,0.12272,-0.0081394
7.3592e+05,15.622,0.2464,0.12474,-0.008772
7.3592e+05,15.628,0.25391,0.10725,-0.009795
7.3592e+05,15.622,0.24572,0.10811,-0.0050833
7.3592e+05,15.634,0.25469,0.1054,-0.0097944
7.3592e+05,15.61,0.243,0.10695,-0.0062046
7.3592e+05,15.616,0.25531,0.093678,-0.008944
7.3592e+05,15.622,0.2365,0.09111,-0.0016911
7.3592e+05,15.64,0.24651,0.097568,0.0047894
7.3592e+05,15.622,0.23922,0.083596,0.0093165
7.3592e+05,15.616,0.23161,0.07819,0.011955
7.3592e+05,15.622,0.22632,0.085703,0.0098534
7.3592e+05,15.622,0.22499,0.084042,0.0067764
7.3592e+05,15.628,0.24123,0.086625,0.0084341
7.3592e+05,15.616,0.23902,0.079161,0.0072493
7.3592e+05,15.616,0.21977,0.061136,0.0012814
7.3592e+05,15.616,0.21398,0.064122,0.0050918
7.3592e+05,15.598,0.24172,0.059691,0.011138
7.3592e+05,15.61,0.23735,0.077381,0.013167
7.3592e+05,15.616,0.23684,0.056476,0.0049092
7.3592e+05,15.604,0.22782,0.060211,0.0005867
7.3592e+05,15.61,0.20464,0.055768,0.0016301
7.3592e+05,15.598,0.20354,0.058552,-0.00038414
7.3592e+05,15.586,0.22046,0.03741,-0.0069089
7.3592e+05,15.61,0.21838,0.041996,-0.0039566
7.3592e+05,15.604,0.21073,0.036592,-0.0002991
7.3592e+05,15.604,0.21077,0.036599,-0.0012983
7.3592e+05,15.586,0.21335,0.035535,-0.00020104
7.3592e+05,15.598,0.20504,0.031996,0.00044278
7.3592e+05,15.592,0.21418,0.0337,-0.0011807
7.3592e+05,15.586,0.20269,0.025467,-0.0066949
7.3592e+05,15.58,0.21407,0.029254,-0.0052146
7.3592e+05,15.592,0.19932,0.028374,-0.0078159
7.3592e+05,15.567,0.20001,0.016662,-0.0088425
7.3592e+05,15.574,0.20012,0.0090319,-0.01186
7.3592e+05,15.58,0.1904,0.003779,-0.012263
7.3592e+05,15.574,0.19032,0.0037774,-0.010264
7.3592e+05,15.574,0.18436,-0.0053002,-0.0095047
7.3592e+05,15.555,0.18545,-0.0026686,-0.010463
7.3592e+05,15.567,0.19119,-0.003467,-0.0092286
7.3592e+05,15.561,0.17972,-0.0072672,-0.0086897
7.3592e+05,15.561,0.19436,-0.010847,-0.010089
7.3592e+05,15.567,0.188,-0.0037247,-0.0083574
7.3592e+05,15.58,0.19086,-0.015577,-0.0082164
7.3592e+05,15.561,0.18593,-0.01438,-0.0064189
7.3592e+05,15.549,0.18702,-0.017137,-0.0043633
7.3592e+05,15.549,0.18422,-0.018313,-0.0034714
7.3592e+05,15.549,0.17587,-0.021843,-0.0017918
7.3592e+05,15.543,0.16215,-0.040748,-0.0011994
7.3592e+05,15.543,0.17731,-0.043019,-0.0025795
7.3592e+05,15.543,0.16497,-0.041853,-0.0060812
7.3592e+05,15.543,0.17559,-0.038467,-0.0086944
7.3592e+05,15.537,0.16708,-0.046503,-0.0099527
7.3592e+05,15.561,0.17268,-0.049524,-0.0086991
7.3592e+05,15.543,0.16927,-0.046625,-0.0088645
7.3592e+05,15.531,0.16252,-0.048487,-0.01111
7.3592e+05,15.519,0.16162,-0.061892,-0.0089668
7.3592e+05,15.519,0.17643,-0.06861,-0.0083056
7.3592e+05,15.519,0.16839,-0.06767,-0.0076234
7.3592e+05,15.531,0.17115,-0.061133,-0.010615
7.3592e+05,15.507,0.1685,-0.067716,-0.010621
7.3592e+05,15.507,0.15663,-0.057588,-0.012221
7.3592e+05,15.513,0.16933,-0.074923,-0.0084743
7.3592e+05,15.519,0.16019,-0.071253,-0.0098759
7.3592e+05,15.507,0.15972,-0.064949,-0.010995
7.3592e+05,15.513,0.16436,-0.062989,-0.011849
7.3592e+05,15.513,0.15297,-0.077515,-0.0070294
7.3592e+05,15.489,0.15321,-0.073025,-0.0061005
7.3592e+05,15.513,0.15214,-0.070314,-0.0091891
7.3592e+05,15.501,0.17054,-0.077704,-0.0093838
7.3592e+05,15.501,0.15916,-0.073902,-0.01087
7.3592e+05,15.495,0.16679,-0.081555,-0.011456
7.3592e+05,15.495,0.16703,-0.077062,-0.010525
7.3592e+05,15.495,0.16445,-0.08137,-0.0085428
7.3592e+05,15.501,0.15155,-0.079244,-0.0080492
7.3592e+05,15.501,0.12753,-0.074162,-0.0050025
7.3592e+05,15.495,0.16109,-0.086144,-0.010577
7.3592e+05,15.489,0.14679,-0.093406,-0.011932
7.3592e+05,15.495,0.1578,-0.083306,-0.013752
7.3592e+05,15.476,0.14184,-0.073848,-0.015507
7.3592e+05,15.47,0.15099,-0.077513,-0.014107
7.3592e+05,15.476,0.14635,-0.079472,-0.013236
7.3592e+05,15.489,0.14369,-0.0784,-0.012351
7.3592e+05,15.464,0.17979,-0.076075,-0.01407
7.3592e+05,15.482,0.12158,-0.077908,-0.0081322
7.3592e+05,15.47,0.13012,-0.077513,-0.0078449
7.3592e+05,15.482,0.13789,-0.082927,-0.0084612
7.3592e+05,15.464,0.13671,-0.080164,-0.0085597
7.3592e+05,15.476,0.15304,-0.077552,-0.0090278
7.3592e+05,15.464,0.13496,-0.071047,-0.0068008
7.3592e+05,15.476,0.14606,-0.079317,-0.0052426
7.3592e+05,15.476,0.14454,-0.080986,-0.0032624
7.3592e+05,15.464,0.13832,-0.066276,-0.0047643
7.3592e+05,15.458,0.15464,-0.063671,-0.005201
7.3592e+05,15.482,0.14993,-0.065592,-0.0023445
7.3592e+05,15.47,0.14781,-0.065508,-0.0054273
7.3592e+05,15.464,0.14378,-0.050904,-0.0057999
7.3592e+05,15.44,0.14951,-0.046327,-0.0076387
7.3592e+05,15.458,0.15838,-0.054479,-0.0061916
7.3592e+05,15.452,0.14082,-0.061937,-0.0047453
7.3592e+05,15.452,0.15517,-0.047085,-0.004407
7.3592e+05,15.47,0.15399,-0.044322,-0.0044847
7.3592e+05,15.458,0.15121,-0.032496,-0.0067135
7.3592e+05,15.47,0.16006,-0.048284,-0.005203
7.3592e+05,15.458,0.15802,-0.038294,-0.0063906
7.3592e+05,15.464,0.15012,-0.035119,-0.0057329
7.3592e+05,15.452,0.15466,-0.035404,-0.0075518
7.3592e+05,15.458,0.15714,-0.033325,-0.010474
7.3592e+05,15.47,0.15321,-0.031741,-0.010644
7.3592e+05,15.47,0.15444,-0.026874,-0.011632
7.3592e+05,15.464,0.14069,-0.017502,-0.012243
